"Story","Title","Result","Date","Stability","Duration (s)"
"Tu Carro","Buscar en google","PENDING","2019-04-08T23:09:17.078-05:00[America/Bogota]","0.0","9.95"
"Tucarro","Buscar en TuCarro","SUCCESS","2019-04-10T07:47:27.939-05:00[America/Bogota]","0.0","27.25"
